Accident_Index,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Sex_of_Driver,Sex_of_Casualty,Age_of_Driver,Age_of_Casualty
2.02E+12,2,1,1,06/01/18,7,17:24,1,1,36,18
2.02E+12,3,2,1,03/01/18,4,17:10,1,2,25,26
2.02E+12,3,3,2,06/01/18,7,19:45,1,2,53,23
2.02E+12,3,2,1,06/01/18,7,19:30,1,1,1,17
2.02E+12,3,3,2,06/01/18,7,19:50,1,1,57,54
2.02E+12,3,2,2,06/01/18,7,17:06,2,1,23,46
2.02E+12,3,2,1,06/01/18,7,21:55,1,1,21,37
2.02E+12,3,1,1,06/01/18,7,22:09,1,2,31,31
2.02E+12,3,3,1,05/01/18,6,13:50,3,2,1,32
2.02E+12,3,2,1,06/01/18,7,21:45,2,1,37,38
2.02E+12,3,1,1,07/01/18,1,0:15,2,2,22,47
2.02E+12,2,2,2,07/01/18,1,0:10,2,2,56,30
2.02E+12,3,2,1,06/01/18,7,22:05,1,1,22,16
2.02E+12,3,3,1,07/01/18,1,0:15,2,1,35,22
2.02E+12,3,2,1,06/01/18,7,22:00,1,1,40,60
2.02E+12,3,3,2,06/01/18,7,11:30,1,2,43,26
2.02E+12,3,1,1,07/01/18,1,9:28,3,1,1,53
2.02E+12,2,2,1,07/01/18,1,10:20,1,2,32,52
2.02E+12,3,2,2,07/01/18,1,12:02,2,1,33,41
2.02E+12,3,2,1,07/01/18,1,9:44,1,1,49,32
2.02E+12,3,1,1,07/01/18,1,8:48,1,1,43,33
2.02E+12,3,2,1,07/01/18,1,10:10,1,1,52,38
2.02E+12,3,2,1,07/01/18,1,10:30,2,1,52,51
2.02E+12,3,2,1,07/01/18,1,1:45,1,1,25,19
2.02E+12,3,1,1,07/01/18,1,10:50,1,2,37,1
2.02E+12,3,1,2,06/01/18,7,13:30,1,1,46,72
2.02E+12,3,1,1,07/01/18,1,13:05,1,2,53,62
2.02E+12,3,2,1,07/01/18,1,13:15,3,1,1,30
2.02E+12,3,2,1,07/01/18,1,12:50,1,1,27,32
